"","dF/dx","Std. Err.","z","P>|z|"
"exposureProsecutor",-0.0236941625912527,0.00438226617321767,-5.40682871708255,6.41504369377632e-08
"ethnicity.ythAI",-0.0052319462460691,0.0217660748768274,-0.240371600101364,0.810042192709636
"ethnicity.ythAP",0.0251205069109874,0.0279323686319406,0.899333215954416,0.368475199958893
"ethnicity.ythAA",0.00388033330365697,0.00231646484863754,1.67510994433576,0.0939126622048954
"ethnicity.ythHi",0.0066941934423044,0.00589255548521838,1.13604249617962,0.255938779386696
"ethnicity.ythOt",-0.00744889050297995,0.00844724587472917,-0.881812914344555,0.377877986723393
"Charge_TypeAlcohol",0.391250218299262,0.0910718668240912,4.29606015494309,1.73860422208377e-05
"Charge_TypeArson",0.380959656686075,0.089491837444993,4.25692071548129,2.07261815266873e-05
"Charge_TypeAssault",0.41864124595596,0.0762170155611705,5.49275306666876,3.95715913423764e-08
"Charge_TypeBomb",0.310963850124016,0.0937731831955635,3.31612769799552,0.0009127411187552
"Charge_TypeBreach",0.498237845654068,0.0816697323188172,6.10064256987005,1.05642905372184e-09
"Charge_TypeBurglary",0.293832401800919,0.0814754936104556,3.60638995580399,0.000310486439915483
"Charge_TypeConspiracy",0.502215096749565,0.0813999880498207,6.16971953905184,6.84112288101975e-10
"Charge_TypeContempt",0.269017883911366,0.0796817063645036,3.37615616162567,0.000735061851340476
"Charge_TypeDisorderly",0.487273884398798,0.0783627620346684,6.21818159221115,5.0294930395744e-10
"Charge_TypeDrugs",0.32326904766275,0.0799085409885225,4.04548805000935,5.22142293139102e-05
"Charge_TypeEducation",0.377107817454908,0.0862899457459876,4.37024052101045,1.24109755557462e-05
"Charge_TypeFTC",0.45774047791939,0.0862836462999425,5.30506645869109,1.12631953561594e-07
"Charge_TypeHarassment",0.513435020989525,0.0831395285965181,6.17558253765499,6.59199571433125e-10
"Charge_TypeKidnapping",0.547252854461033,0.0874231867715738,6.25981361090094,3.85437871803241e-10
"Charge_TypeLarceny",0.386185598986136,0.0810746265567925,4.76333490991308,1.90419407583805e-06
"Charge_TypeMalicious",0.432483164631515,0.0812356386803433,5.32381072712811,1.01615639870035e-07
"Charge_TypeMinor",0.367022885209547,0.0841913924294498,4.3593872796094,1.30427114329307e-05
"Charge_TypeMurder",0.368673306749686,0.0956648443124342,3.85380135617664,0.000116297962731765
"Charge_TypeObscene",0.441967144062511,0.089648310634524,4.93001084944379,8.22250501585639e-07
"Charge_TypeOther",0.611644977729876,0.0687040255337926,8.90260756888305,5.4549768843632e-19
"Charge_TypeProbation",0.190388329838066,0.0731616489149702,2.60229686812196,0.0092601654653884
"Charge_TypeReport",0.483120977801689,0.081806179526095,5.90567828250163,3.51198750154244e-09
"Charge_TypeResisting",0.481626580193495,0.0806252395884675,5.97364525862924,2.32010014214049e-09
"Charge_TypeRiot",0.428670465044563,0.0912982545723876,4.69527557840312,2.66247535788205e-06
"Charge_TypeRobbery",0.266717059524859,0.0846656406600753,3.15023966564788,0.00163136575561467
"Charge_TypeRSG",0.407649314433168,0.084429665487304,4.82827110684771,1.37723514578822e-06
"Charge_TypeSchool",0.430085481604488,0.0798796437697996,5.38416874822233,7.27802008524668e-08
"Charge_TypeSex",0.471354818497502,0.0812484003748097,5.80140429009162,6.57618291586442e-09
"Charge_TypeShoplifting",0.268716330795991,0.0791356177970269,3.39564330546095,0.000684675217018548
"Charge_TypeStatus",0.540387833999537,0.0740856353799758,7.29409731357444,3.00668067207171e-13
"Charge_TypeTelephone",0.422116238039025,0.0863641366491305,4.88763339062772,1.02055346538288e-06
"Charge_TypeThreat",0.496869573706793,0.0802043539728706,6.1950448958776,5.82684188839588e-10
"Charge_TypeTraffic",0.450831638726724,0.0827566856421948,5.44767634455457,5.10321102858599e-08
"Charge_TypeTrespassing",0.504191968805259,0.0788348925198199,6.39554330182539,1.59977496081485e-10
"Charge_TypeVandalism",0.358617807105512,0.0938868904951635,3.81967924610291,0.00013362532561977
"Charge_TypeVehicle",0.404725410367257,0.0844651440671008,4.79162635472137,1.6543478141848e-06
"Charge_TypeWeapons",0.391662084411355,0.0826391665140156,4.73942442709571,2.14326151724686e-06
"fam0017",1.35641384694126e-05,8.08408925699626e-07,16.7788083953597,3.48764317726523e-63
"nprior.Dismissed",0.0159655143606545,0.0014764628346302,10.8133533646671,2.97588721642336e-27
"chdesc.truant",-0.115692935888076,0.00255634528629846,-45.2571632275845,0
"fampov0017.pct",0.00534619962431455,0.000644776746662267,8.29155153623256,1.11780681165881e-16
"fampov0017.mr.pct",-0.039320237322445,0.0175294157694303,-2.24310027439795,0.0248903489929577
"pop2599nohs",-1.94618217695494e-06,7.31101467938371e-07,-2.66198641680062,0.00776810131379103
"famhh.married.pct",-0.00142243963246937,0.000829361649574155,-1.71510176917361,0.0863265700275495
"nprior.cat1",0.0237524962747074,0.00295300708281921,8.04349451543851,8.73121168809712e-16
"nprior.cat2",0.04490957037123,0.00430272383494744,10.4374745147404,1.67199679417681e-25
"nprior.cat3",0.0564242891539565,0.00579581387474761,9.73535216508546,2.13078347586501e-22
"nprior.cat4 or more",0.06678708644456,0.00772603456732498,8.64441983304302,5.40793674928031e-18
"fam0017.ot.pct",0.00905467369338697,0.00339462583851855,2.6673554388953,0.00764507706711464
"fam.mobilehome",-1.6635780425653e-06,1.0177711214754e-06,-1.63453060070492,0.102147486286186
"refsrcJJ",-0.0382692363343028,0.00719579692193371,-5.31827631455985,1.04754900858849e-07
"refsrcLegal",-0.0538806460098374,0.00554869533261189,-9.71050720574969,2.71980293174226e-22
"refsrcSchool",-0.017840810237034,0.00224676566412104,-7.94066356003958,2.01102474030215e-15
"refsrcFamily",-0.019521016646246,0.00666918927154777,-2.92704493026266,0.00342199440721283
"refsrcOther",0.00385653043508133,0.0137891732532698,0.279678147793729,0.779724445073868
"fam0017.pi.pct",0.101156446317336,0.0315103686012444,3.21025906099179,0.00132615393366823
"famhh.married.wh.pct",-0.00906957445951781,0.00236712018972936,-3.83148033583997,0.000127374556255441
"pop0304.noschool.pct",-0.000343696062472288,0.000225134290638228,-1.52662689232259,0.126853815957998
"fampov0017.ot.pct",-0.0338172598954767,0.0174843959775169,-1.93413944290452,0.0530959855151267
"famsingleparent0017.pct",-0.00327123098947356,0.000768542571839642,-4.25640831013862,2.07737173557633e-05
"famsingleparent0017.na.pct",-0.0613379608342189,0.016507270262359,-3.71581490212139,0.000202549826099186
"fam0017.whnh.pct",-0.0136153263309269,0.00344981006118759,-3.94668868414161,7.92394799999557e-05
"fam0017.bl.pct",-0.014208836297491,0.00346818379402499,-4.09690983562349,4.18701888475756e-05
"fampov0017.whnh.pct",0.00467160113344165,0.000645942728591024,7.23222187767587,4.7515504366566e-13
"fam.mobilehome.pct",0.0019838390421745,0.000407755347198546,4.86526799906935,1.14301818451714e-06
"fampov0017.bl.pct",-0.0261815393907243,0.0174364972976696,-1.50153662996429,0.133216819836605
"famsingleparent0017.pi.pct",-0.0491083458283661,0.0201738888767876,-2.43425281700996,0.0149225681893326
"fam0017.hi.pct",0.0136244136382338,0.00333607800942024,4.08396134615615,4.42743986864502e-05
"famsingleparent0017.as.pct",-0.0650890998656295,0.0164467702044349,-3.95756121454644,7.57188864889e-05
"agghhincome",-4.32881532116195e-11,1.84580889677453e-12,-23.4521316303457,1.25733515111269e-121
"nprior",-0.00267656638328633,0.00106743279611799,-2.50747999594953,0.0121595464036458
"famhh.married.whnh.pct",0.0206152923560137,0.00269373123403005,7.65306207819832,1.96249112811795e-14
"fam0017.mr.pct",0.0226569608507796,0.00422905069569096,5.35745785073352,8.4401048688e-08
"TANF.cumulative",3.70491326764712e-07,1.7382189184068e-07,2.13144226450079,0.0330527241145544
"agghhincome.bl.pct",-0.00844864769727778,0.001935005043963,-4.36621481873478,1.26418154336966e-05
"famhh.married.ot.pct",-0.0316724704438189,0.00322494009057335,-9.82110351023235,9.13381532072715e-23
"agghhincome.wh.pct",-0.00555534082884706,0.0019543311062675,-2.84257913668323,0.00447501198970307
"fampov0017.na.pct",-0.0410029833714846,0.0173331927734332,-2.36557591595764,0.0180020520979352
"pop0304.noschool",-2.4152538709559e-06,5.36646543948456e-06,-0.450064180640262,0.65266416354158
"famsingleparent0017.bl.pct",-0.0616253643862918,0.0163403336847856,-3.77136511255404,0.000162356913338311
