"","dF/dx","Std. Err.","z","P>|z|"
"exposureProsecutor",0.0345946643591176,0.00553221054369667,6.25331665992616,4.0182622497175e-10
"ethnicity.ythAI",-0.0618528332974147,0.0242993681317368,-2.54545027517116,0.0109136906319167
"ethnicity.ythAP",-0.0528685850402455,0.023344607813977,-2.26470221566934,0.0235309594302985
"ethnicity.ythAA",0.000287107976686435,0.00284084037283143,0.101064452417746,0.919499296383199
"ethnicity.ythHi",-0.0143436908411928,0.00667985755391327,-2.14730489766056,0.0317690161776294
"ethnicity.ythOt",-0.0641703136498659,0.00959604135951262,-6.68716518048909,2.27535011142604e-11
"nprior.Prosecuted",-0.0818747082161934,0.00341075321203998,-24.0048760863657,2.47314983801121e-127
"Charge_TypeAlcohol",0.802784783230379,0.117306565816286,6.84347698395347,7.72937481286461e-12
"Charge_TypeArson",0.778188411557724,0.869336466390641,0.89515215528534,0.370705756779925
"Charge_TypeAssault",0.879782463805061,1.20575547755027,0.729652471156514,0.465602640226647
"Charge_TypeBomb",0.769984952244727,1.05638005950814,0.728890085830699,0.466068899771366
"Charge_TypeBreach",0.796643900003898,0.392116856414936,2.03164920602366,0.0421891814961979
"Charge_TypeBurglary",0.780074629959719,1.46040008755269,0.534151316894915,0.59323684795073
"Charge_TypeConspiracy",0.760393476423428,1.32806161649219,0.572558883549287,0.56694340582882
"Charge_TypeContempt",0.703382414296289,2.87265224760478,0.244854703482737,0.806568935557762
"Charge_TypeDisorderly",0.845067921145274,0.576441084393551,1.46600917947119,0.142645786101864
"Charge_TypeDrugs",0.859797109256599,0.616335375531387,1.39501502492098,0.163011308774845
"Charge_TypeEducation",0.805417091607702,0.197563357323719,4.07675341479432,4.56688787404057e-05
"Charge_TypeFTC",0.780986403054725,0.791956334440053,0.986148312844693,0.324060338666052
"Charge_TypeHarassment",0.796827931811855,0.318698856596479,2.50025350050364,0.0124104466010776
"Charge_TypeKidnapping",-0.190402206985497,0.452832565991139,-0.420469333005575,0.674142627843156
"Charge_TypeLarceny",0.835220786691037,0.87611203821642,0.953326458555884,0.340424689755636
"Charge_TypeMalicious",0.823592510711339,0.713960401473854,1.15355488765367,0.248682702508957
"Charge_TypeMinor",0.815336908523083,0.22400346425386,3.63984062138911,0.000272806844604441
"Charge_TypeMurder",-0.190879604072732,0.378500496940681,-0.504304764764013,0.614047229693967
"Charge_TypeObscene",0.786455266902852,0.624226690063788,1.25988728040848,0.20771002785793
"Charge_TypeOther",0.795038960704753,0.44317135839414,1.79397640584362,0.0728169348228266
"Charge_TypeProbation",0.791917738456763,1.69073787972373,0.46838587338338,0.639508668422638
"Charge_TypeReport",0.794578083072979,0.496072510087649,1.60173778412472,0.109213606115751
"Charge_TypeResisting",0.782656913058959,0.959157206234143,0.815983978405207,0.414509299180536
"Charge_TypeRiot",0.804590003806007,0.048463468339679,16.6019897331049,6.74185117341389e-62
