"","dF/dx","Std. Err.","z","P>|z|"
"exposureProsecutor",0.0186694480533204,0.00882259614873101,2.11609459830094,0.0343367628185177
"nprior.Prosecuted",0.0493494651307745,0.00532221252523218,9.27235898544311,1.82073688392996e-20
"Charge_TypeAlcohol",-0.472705351843735,0.0267569090817917,-17.6666650994234,7.57443705640623e-70
"Charge_TypeArson",-0.316548530613381,0.0681067845285919,-4.64782668576125,3.35450571316621e-06
"Charge_TypeAssault",-0.483691394824416,0.0541101658301694,-8.93901150372619,3.92666972817927e-19
"Charge_TypeBomb",-0.206008223279234,0.0897970102953124,-2.29415458935371,0.0217816206581888
"Charge_TypeBreach",-0.448529846279439,0.0322984725248757,-13.8870296709539,7.59189388937749e-44
"Charge_TypeBurglary",-0.262512917097333,0.0729991472553888,-3.59610936520843,0.000323012042857577
"Charge_TypeConspiracy",-0.320739018274562,0.0646560378571876,-4.96069708111423,7.0240655318404e-07
"Charge_TypeContempt",-0.185753398875076,0.080913979048635,-2.295689830844,0.021693622308437
"Charge_TypeDisorderly",-0.493797150503132,0.0354659879115028,-13.9231184461938,4.58456304743683e-44
"Charge_TypeDrugs",-0.420129753126091,0.0480242400957374,-8.74828528860744,2.16619057030053e-18
"Charge_TypeEducation",-0.448668371980759,0.0326260647814757,-13.7518384453004,4.96515798317951e-43
"Charge_TypeFTC",-0.39583161073978,0.0493436384057722,-8.02193805581785,1.04089632276943e-15
"Charge_TypeHarassment",-0.460858723855076,0.0292486775369449,-15.7565661993761,6.19064555043216e-56
"Charge_TypeKidnapping",-0.3998970832016,0.0525620556280562,-7.60809444043404,2.78166559118498e-14
"Charge_TypeLarceny",-0.403897941914134,0.0539395355816382,-7.48797588927753,6.99438715893143e-14
"Charge_TypeMalicious",-0.416536557974181,0.0469291630651484,-8.87585737243882,6.93967281556967e-19
"Charge_TypeMinor",-0.468255427118991,0.025691340510163,-18.2261967581551,3.19802519328593e-74
"Charge_TypeMurder",-0.199083799612986,0.0914763909509663,-2.17634077539963,0.0295297887190546
"Charge_TypeObscene",-0.373280093858413,0.058398613487499,-6.39193418416207,1.63800406031373e-10
"Charge_TypeOther",-0.464577471850544,0.0268307340010216,-17.3151234637433,3.6174568300248e-67
"Charge_TypeProbation",-0.215178889083894,0.0788386192988514,-2.72935892329902,0.00634575944261013
"Charge_TypeReport",-0.412899056898078,0.0427651850557042,-9.65502794762264,4.68031641119377e-22
"Charge_TypeResisting",-0.389347370981414,0.0492414615289669,-7.90690119448171,2.63874893887078e-15
"Charge_TypeRiot",-0.501788949086255,0.0120123154866728,-41.7728746504345,0
"Charge_TypeRobbery",-0.18098295192089,0.0829381051639923,-2.18214476401451,0.0290988503704036
"Charge_TypeRSG",-0.415162189188327,0.0425230551459809,-9.76322580216973,1.61921226138421e-22
"Charge_TypeSchool",-0.501337397238753,0.0376385633262966,-13.3197803777087,1.77629259872972e-40
"Charge_TypeSex",-0.232037620965827,0.0764982626360514,-3.03324040272353,0.00241942774687474
"Charge_TypeShoplifting",-0.493155648485328,0.0316621558496855,-15.5755549567301,1.06722781629759e-54
"Charge_TypeStatus",-0.403903528872666,0.0540741972914421,-7.4694318011927,8.05418380269351e-14
"Charge_TypeTelephone",-0.398648125344763,0.047884720506015,-8.32516345782341,8.42124566963702e-17
"Charge_TypeThreat",-0.425891520618457,0.039376502680061,-10.8158798174352,2.89501363255605e-27
"Charge_TypeTraffic",-0.387108140118553,0.0493476484227608,-7.84451037670937,4.3464596005123e-15
"Charge_TypeTrespassing",-0.448546011019006,0.0338286380881615,-13.2593576439596,3.98292717881745e-40
"Charge_TypeVandalism",-0.452391362823044,0.0331890423723179,-13.6307446821777,2.62884013016573e-42
"Charge_TypeVehicle",-0.330030474183417,0.0615619727358141,-5.36094701837616,8.27867976269941e-08
"Charge_TypeWeapons",-0.327429854645381,0.06349803457187,-5.156535266848,2.51561120934374e-07
"nprior",-0.0361370965518554,0.00557902569254632,-6.4773131624282,9.33702784172937e-11
"nprior.cat1",0.276522669670404,0.00499900382698534,55.3155547066588,0
"nprior.cat2",0.364486006510728,0.00537640809727912,67.7935900541453,0
"nprior.cat3",0.377075494705586,0.00602571729084557,62.5776943233711,0
"nprior.cat4 or more",0.399856048742095,0.00921077051746433,43.4117914439338,0
"chdesc.truant",0.414523434169694,0.00711128328544845,58.2909465887707,0
"off2ref",-7.92895861903371e-05,2.72294450034175e-05,-2.91190607007913,0.0035923064209353
"fam.mobilehome.pct",-0.00150930281250652,0.000737633041003159,-2.04614317500463,0.0407422862169866
"fam0017",-6.9734762600229e-06,1.32080534127518e-06,-5.27971536917796,1.29384717506039e-07
"fam0017.ot.pct",0.0167960354301634,0.00537089574563662,3.12723169944394,0.00176460799549019
