"","dF/dx","Std. Err.","z","P>|z|"
"exposureProsecutor",0.0065887732660157,0.0109757223651673,0.60030429404136,0.548303457492893
"nprior.Prosecuted",0.0728234699296535,0.0100522566687033,7.24448970313128,4.34070385741866e-13
"Charge_TypeAlcohol",-0.507388451522068,0.0255067168057552,-19.8923466076035,4.7404099787974e-88
"Charge_TypeArson",-0.505737095353008,0.0389867512245274,-12.9720245844655,1.76310998010182e-38
"Charge_TypeAssault",-0.691999218815599,0.601008306909982,-1.15139709528049,0.249568908291768
"Charge_TypeBomb",-0.503382309461059,0.04310711501591,-11.6774761956413,1.66155844152154e-31
"Charge_TypeBreach",-0.507681797677654,0.0274855020568041,-18.4708940964015,3.54169444984209e-76
"Charge_TypeBurglary",-0.54001680407633,0.197560858560428,-2.73342001047821,0.00626803460459574
"Charge_TypeConspiracy",-0.506312982219997,0.0265672566632438,-19.0577818642633,5.66250435632893e-81
"Charge_TypeContempt",-0.579286548276384,0.429230597785275,-1.34959285583405,0.177146617041177
"Charge_TypeDisorderly",-0.57110580208946,0.2182802818128,-2.61638750576311,0.00888656414727071
"Charge_TypeDrugs",-0.687594836312191,0.57607275765313,-1.19359026646806,0.232638283315656
"Charge_TypeEducation",-0.506440266640777,0.0216623582958768,-23.378814980508,7.02066808579781e-121
"Charge_TypeFTC",-0.505157259766669,0.0262202104671669,-19.265949844271,1.03744303583841e-82
"Charge_TypeHarassment",-0.504615845673813,0.0189946682799148,-26.5661836383529,1.66994462831758e-155
"Charge_TypeKidnapping",-0.501093236150895,0.0174700231857254,-28.6830321187171,6.21165378717771e-181
"Charge_TypeLarceny",-0.588228890654139,0.314997547265636,-1.86740784415724,0.0618446552263457
"Charge_TypeMalicious",-0.578593380539094,0.275841670644875,-2.09755610595902,0.0359443760161634
"Charge_TypeMinor",-0.561045690712269,0.191678370154961,-2.92701617954439,0.00342231076466195
"Charge_TypeMurder",-0.501081749877586,0.03078746822334,-16.2755100952964,1.47287023151961e-59
"Charge_TypeObscene",-0.505452370897795,0.021182413417906,-23.8618877332705,7.62213195847558e-126
"Charge_TypeOther",-0.507252129540058,0.024931084019359,-20.3461722380855,5.01975334753873e-92
"Charge_TypeProbation",-0.57634112096829,0.441722532065129,-1.30475825689443,0.191975177288475
"Charge_TypeReport",-0.508879055516655,0.0340844020200218,-14.9299687058535,2.10364804588018e-50
"Charge_TypeResisting",-0.51070035907753,0.0444569424998145,-11.487527714702,1.52411458194315e-30
"Charge_TypeRiot",-0.501667188610671,0.00723331345863455,-69.3551014316711,0
"Charge_TypeRobbery",-0.497390183792762,0.188776649075312,-2.63480778067169,0.00841849421567759
