"","dF/dx","Std. Err.","z","P>|z|"
"exposureProsecutor",0.0129151942135467,0.00655371039730007,1.97066904556347,0.0487617433838305
"ethnicity.ythAI",0.0702072523516891,0.035619399514516,1.97103975105132,0.0487193291907675
"ethnicity.ythAP",0.0322780553970923,0.0391459390723803,0.824556931369319,0.409623181395984
"ethnicity.ythAA",-0.0068007301304347,0.00371105855992129,-1.83255802101353,0.066868325811498
"ethnicity.ythHi",0.00212922561609097,0.00914329481469483,0.232872904050839,0.815860099482392
"ethnicity.ythOt",0.0878932831447164,0.0135766423782468,6.47386008233847,9.55303694836999e-11
"nprior.Prosecuted",0.0559561303890455,0.00460156190417738,12.1602472278484,5.0605306497814e-34
"Charge_TypeAlcohol",-0.476416180909516,0.019485702644519,-24.4495253571738,5.09122823478599e-132
"Charge_TypeArson",-0.329284148622936,0.0585746301757547,-5.62161720244601,1.89178086518867e-08
"Charge_TypeAssault",-0.488970012007392,0.0469597112202386,-10.4125429927401,2.17337081292006e-25
"Charge_TypeBomb",-0.266326443615618,0.0709875224047195,-3.75173600364888,0.000175614332425634
"Charge_TypeBreach",-0.457237120527483,0.0259402427833441,-17.6265551693706,1.54073076008788e-69
"Charge_TypeBurglary",-0.284819472160504,0.0654798600402771,-4.34972634311236,1.36307527043046e-05
"Charge_TypeConspiracy",-0.373656821717744,0.0486827272660688,-7.67534693928656,1.64971533914757e-14
"Charge_TypeContempt",-0.205991780172845,0.0745531065794918,-2.76302074620066,0.00572691262401944
"Charge_TypeDisorderly",-0.498152649956109,0.0281483716496377,-17.6973878331793,4.3921210694825e-70
"Charge_TypeDrugs",-0.460243383197852,0.0404075893369689,-11.3900232790372,4.68864434467241e-30
"Charge_TypeEducation",-0.464400900008514,0.023981026392745,-19.3653471041177,1.5133154344207e-83
"Charge_TypeFTC",-0.394344640291964,0.0443491441608467,-8.89182074995052,6.01156157110941e-19
"Charge_TypeHarassment",-0.458112546512986,0.0260438117875946,-17.5900728452967,2.93500092536254e-69
"Charge_TypeKidnapping",-0.390340454639845,0.0504242204318695,-7.74113018102584,9.85369416778609e-15
"Charge_TypeLarceny",-0.416082398129856,0.0471079205375066,-8.83253587469601,1.02328888418738e-18
"Charge_TypeMalicious",-0.427647027188766,0.0414541656013254,-10.3161412366021,5.95693351301625e-25
"Charge_TypeMinor",-0.475793312814272,0.0228195682661515,-20.8502328906906,1.51682520940902e-96
"Charge_TypeMurder",-0.231136400146263,0.0806607663090917,-2.86553687403054,0.00416302786295644
"Charge_TypeObscene",-0.420705530465574,0.0379772803153744,-11.0778214493485,1.60736005595956e-28
"Charge_TypeOther",-0.471124641445303,0.0212671939887059,-22.152647015657,9.83664235086844e-109
"Charge_TypeProbation",-0.218900054603698,0.0738698552414409,-2.96332047610262,0.00304339529295081
"Charge_TypeReport",-0.426014494640253,0.0353625694629921,-12.0470458201882,2.0102624412389e-33
"Charge_TypeResisting",-0.400293596880553,0.0425306418992037,-9.41188703027894,4.87308290056708e-21
"Charge_TypeRiot",-0.500641825857169,0.00933240140220691,-53.6455521232486,0
"Charge_TypeRobbery",-0.194364192831395,0.0769314586043103,-2.52645921912243,0.0115218764353714
"Charge_TypeRSG",-0.427706292438979,0.0352967632350714,-12.1174366496587,8.53881822437626e-34
"Charge_TypeSchool",-0.509426559073811,0.029830805750038,-17.0771974227737,2.19407294583007e-65
"Charge_TypeSex",-0.231622006684915,0.0714824997999871,-3.24026170507479,0.00119420040856666
"Charge_TypeShoplifting",-0.506856083332098,0.0254669600418898,-19.9024965091392,3.8715664373357e-88
"Charge_TypeStatus",-0.422385225379501,0.0502678499102202,-8.40269130535506,4.36360669110979e-17
"Charge_TypeTelephone",-0.420201344609456,0.0370443069419691,-11.3432097749247,8.01497552986204e-30
"Charge_TypeThreat",-0.429538802781471,0.0345905489765181,-12.4178082016872,2.09214941876084e-35
"Charge_TypeTraffic",-0.417662032993604,0.0379740518577383,-10.9986164910262,3.88039562967159e-28
"Charge_TypeTrespassing",-0.468878380324383,0.0244686413762642,-19.1624198955002,7.62446423834415e-82
"Charge_TypeVandalism",-0.471585584514795,0.0215008016454447,-21.9333954282913,1.24761362573298e-106
"Charge_TypeVehicle",-0.353180573367027,0.0526627025215798,-6.70646503988858,1.99395589694696e-11
"Charge_TypeWeapons",-0.372644324130316,0.0512433330684763,-7.27205475944261,3.54060002198773e-13
"nprior",-0.0416648245553613,0.00484437504156895,-8.60066039434207,7.92586944204017e-18
"nprior.cat1",0.288972883582559,0.00388474075249934,74.3866584653408,0
"nprior.cat2",0.373548468900788,0.00427182702044308,87.4446617602141,0
"nprior.cat3",0.387765531671565,0.0048200369631624,80.4486634926455,0
"nprior.cat4 or more",0.401631655752215,0.00745390343665695,53.8820577923056,0
"chdesc.truant",0.439265588230296,0.00433844677660816,101.249504914687,0
"off2ref",-5.3617231767475e-05,1.69410923165283e-05,-3.16492176334841,0.00155124656425939
"fam.mobilehome.pct",-0.00157444818593867,0.000607147809070459,-2.59318762650093,0.00950908778281632
"fam0017",-8.390806184004e-06,9.78326107927043e-07,-8.57669658002188,9.76367342496292e-18
"fam0017.ot.pct",0.00610105287034349,0.00416797016467472,1.46379475603075,0.143250035694101
"famsingleparent0017.whnh.pct",0.00483157271616094,0.000928636459472171,5.20286778198129,1.96236487696409e-07
"fampov0017.pi.pct",-0.12421617648888,0.0153052521184551,-8.11591834799632,4.82124791293672e-16
"fam.mobilehome",-1.87792332465835e-05,1.611761247342e-06,-11.6513740962273,2.25788373452498e-31
"refsrcJJ",0.0735192527876105,0.0145596572778617,5.04951808854718,4.42925998123625e-07
"refsrcLegal",0.105766406336275,0.01153411574274,9.16987558433764,4.73565288487737e-20
"refsrcSchool",0.0226733413210948,0.00366557139542931,6.18548621079014,6.19113471476783e-10
"refsrcFamily",0.0911523180468811,0.012219076690048,7.45983680756514,8.66297093147948e-14
"refsrcOther",0.0320829779678745,0.0230012286532107,1.39483757374831,0.16306482551183
"sexM",0.0560298301161148,0.00356877433458532,15.7000204728902,1.51193262799156e-55
"fampov0017.pct",-0.010204581140139,0.000996577516640028,-10.2396260900445,1.31744529970331e-24
"famsingleparent0017.pi.pct",-0.235060919855975,0.0223951108620141,-10.4960819932657,9.00401565048759e-26
"famsingleparent0017.hi.pct",-0.0118634072648286,0.00196649342514248,-6.03277240246507,1.61170338519366e-09
"fam0017.whnh.pct",-0.00385404333032569,0.00133141304232506,-2.89470149969039,0.00379519240856189
"famsingleparent0017.ot.pct",0.0176940912039425,0.00273349515519233,6.47306477581724,9.6034757201487e-11
"famhh.married.wh.pct",0.0105870028899893,0.0037755798888501,2.80407333486822,0.00504614260787638
"SNAP.cumulative",4.07075394144192e-07,3.94426044449744e-08,10.3207026988315,5.68058723974453e-25
"fampov0017.bl.pct",0.00659749561852407,0.00155605123843026,4.23989612654376,2.23623242252084e-05
"famhh.married.whnh.pct",-0.0104531651750247,0.00374902675126574,-2.78823435215434,0.00529961912945854
"pop2599nohs",1.17394992030489e-05,1.18160790136394e-06,9.93519016714252,2.92617077208709e-23
"famsingleparent0017.pct",0.00962495005105251,0.00124223149823737,7.74811302459291,9.32681080468692e-15
"fampov0017.hi.pct",0.0120023605341706,0.00161830871090838,7.4166075071261,1.20158352332659e-13
"agghhincome.whnh.pct",0.0128737275167388,0.00390792914502892,3.29425817075389,0.000986818166533091
"famhh.married.pct",0.0102732163718138,0.00136382615289789,7.53264362175859,4.97231859446372e-14
"`ADHD/ADD`",0.102791654477863,0.00972266691762253,10.5723723078028,4.00239926642224e-26
"nprior.Dismissed",-0.00174719335288047,0.00424945561281324,-0.411156983876292,0.680957428064054
"fam0017.pi.pct",0.270624653047583,0.0466714756286145,5.79850217724124,6.69098345989375e-09
"fampov0017.whnh.pct",0.0117360297924305,0.00196300327154197,5.9786093903,2.25050466228727e-09
